paper_id,title,issue_type,description,notes
P99f66ce8a541,Genome Editing Methods for Bacillus subtilis,review_only_evidence,Methods-in-Molecular-Biology protocol chapter describing multiple methods generically; no single strain/experiment/outcome to anchor an observation.,
Pd10f315292cc,A global survey of Salmonella plasmids and their associations with antimicrobial resistance,review_only_evidence,Europe PMC returned no abstract text for this record; appears to be a bioinformatics/genomics survey with no manipulation attempt.,Needs full text or direct journal check.
P4ce71d3fe20f,Plasmid-Mediated Transmission of KPC-2 Carbapenemase in Enterobacteriaceae in Critically Ill Patients,outcome_uncertain,Abstract confirms transconjugants existed (implying successful conjugation was performed) but does not name the exact recipient/donor strains used in the lab conjugation step.,Candidate for full-text extraction.
P0f31d735a2d2,Intragenomic conflicts with plasmids and chromosomal mobile genetic elements drive the evolution of natural transformation within species,strain_uncertain,"Aggregate natural-competence survey across 786 Legionella pneumophila and 496 Acinetobacter baumannii strains; no single strain's result is stated in the abstract, so it does not fit the per-strain observation schema without full-text/supplementary-table extraction.",Good candidate for a dedicated large-panel extraction pass later.
P64f75ba0b78b,Genetic Manipulation of Neisseria gonorrhoeae and Commensal Neisseria Species,review_only_evidence,Current Protocols methods article describing established techniques generically (no single new strain/outcome reported in the abstract).,High background value as a discovery source; revisit with full text for named strains.
Pd453e0841397,Naturally competent bacteria and their genetic parasites-a battle for control over horizontal gene transfer?,review_only_evidence,Review paper (already captured in review_seeds.csv); excluded from the evidence table per spec.,
P31cd342b502e,The virulence regulator CovR boosts CRISPR-Cas9 immunity in Group B Streptococcus,review_only_evidence,"Describes CRISPR-Cas9 as a naturally occurring bacterial immune system regulated by CovR, not a researcher-driven genome-engineering attempt -- excluded per spec section 2.",
P9021453ce99e,Mobilizable Rolling-Circle Replicating Plasmids from Gram-Positive Bacteria: A Low-Cost Conjugative Transfer,review_only_evidence,Framed and written as a review of existing plasmid families/mechanisms rather than a new manipulation attempt.,
P3e526c951d55,Synthetically designed anti-defense proteins overcome barriers to bacterial transformation and phage infection,strain_uncertain,Abstract describes the general approach (de novo anti-defense proteins enabling transformation of otherwise-restrictive bacteria) but names no specific organism/strain.,High-value candidate; needs full text for strain identities.
Pf6df18e8f504,Genetic modification of intractable bacterial clones by heat shock-facilitated phage transduction,strain_uncertain,Describes success across 'non-Staphylococcus aureus (NAS) staphylococci' and other Bacillota/Actinomycetota generically; no individual strain identifiers given in the abstract.,High-value candidate; needs full text for strain identities.
Pfd79065d79b3,Plasmodium berghei High-Throughput (PbHiT): a CRISPR-Cas9 System to Study Genes at Scale,strain_uncertain,"Unicellular eukaryotic parasite (apicomplexan) kept in candidate_papers.csv per spec section 12, but abstract names no specific strain (ANKA is field-standard but not stated here) and is a generic protocol description.",organism_domain=eukaryota if revisited.
