paper_id,title,doi,pmid,year,journal,topic_area,discovery_query,notes
P50190b3d60b6,The Single-Stranded DNA Platform: A Potential Broad-Spectrum Vector for Editing Genes in Prokaryotes: ssDNA May Break Through the Difficulties of Genetic Manipulation on Non-Model Bacteria,10.1002/bies.70172,42592681,2026,"BioEssays : news and reviews in molecular, cellular and developmental biology",genetic manipulation of non-model bacteria,"(genetic manipulation of non-model bacteria) AND (PUB_TYPE:""Review"")",not_open_access
P6a47d22299f7,Engineering the Gut Microbiome: Emerging Genome-Editing Strategies and Therapeutic Applications,10.3390/microorganisms14061174,42354799,2026,Microorganisms,genetic manipulation of non-model bacteria,"(genetic manipulation of non-model bacteria) AND (PUB_TYPE:""Review"")",open_access
Pa3b7882613a5,Engineered bacteria in disease diagnosis and therapy: A synthetic biology perspective,10.1016/j.synbio.2026.04.028,42293685,2026,Synthetic and systems biotechnology,genetic manipulation of non-model bacteria,"(genetic manipulation of non-model bacteria) AND (PUB_TYPE:""Review"")",open_access
Pc1fa6f9ccb02,Prospects and challenges in using engineered lactic acid bacteria in aquaculture applications,10.1016/j.engmic.2026.100275,42182524,2026,Engineering microbiology,genetic engineering of marine bacteria,"(genetic engineering of marine bacteria) AND (PUB_TYPE:""Review"")",open_access
P693018b6b753,Bacterial conjugation and its deployment for diverse biotechnology applications,10.1016/j.biotechadv.2026.108894,41956307,2026,Biotechnology advances,genetic engineering of marine bacteria,"(genetic engineering of marine bacteria) AND (PUB_TYPE:""Review"")",not_open_access
P4068b6b1e03b,A 'Genome-First' Framework for Next-Generation Bioinputs: From Functional Mining to Rational Synthetic Microbial Communities,10.1111/1462-2920.70319,42086219,2026,Environmental microbiology,microbial genetic toolbox,"(microbial genetic toolbox) AND (PUB_TYPE:""Review"")",open_access
Pef4315235a63,Expanding the Microbial Genomic Landscape and Biotechnological Applications of CRISPR-Cas Systems,10.3390/biology15100748,42187710,2026,Biology,microbial genetic toolbox,"(microbial genetic toolbox) AND (PUB_TYPE:""Review"")",open_access
P839212134331,Broad-Host-Range Synthetic Biology: Rethinking Microbial Chassis as a Design Variable,10.1021/acssynbio.5c00308,40964802,2025,ACS synthetic biology,microbial genetic toolbox,"(microbial genetic toolbox) AND (PUB_TYPE:""Review"")",open_access
Pf17474490776,Putative gatekeepers of incoming DNA: 3' exonucleases in natural transformation and bacterial evolution,10.1016/j.bbamcr.2026.120210,42607351,2026,Biochimica et biophysica acta. Molecular cell research,natural competence in bacteria,"(natural competence in bacteria) AND (PUB_TYPE:""Review"")",not_open_access
Pb444393bba49,"Ecological and engineered modulation of the mosquito microbiome: mechanisms, vector competence, and translational prospects for disease control",10.3389/fmicb.2026.1884326,42434552,2026,Frontiers in microbiology,natural competence in bacteria,"(natural competence in bacteria) AND (PUB_TYPE:""Review"")",not_open_access
P9b135ce4fe11,Role of microbial activities in nitrogen transformation under antibiotic stress in wastewater systems: A review of emerging treatment technologies,10.1016/j.jenvman.2026.129811,42070435,2026,Journal of environmental management,transformation of environmental bacteria,"(transformation of environmental bacteria) AND (PUB_TYPE:""Review"")",not_open_access
Pfa3a020f5655,The mobile resistome in the water-soil-air nexus: horizontal gene transfer and environmental dissemination of antimicrobial resistance genes,10.1093/femsec/fiag064,42308338,2026,FEMS microbiology ecology,transformation of environmental bacteria,"(transformation of environmental bacteria) AND (PUB_TYPE:""Review"")",open_access
P2adbe0804d9d,Beyond bactericidal: targeting plasmid-mediated antibiotic resistance with natural product-based plasmid curing agents,10.3389/fmicb.2026.1802582,42112440,2026,Frontiers in microbiology,conjugation in non-model bacteria,"(conjugation in non-model bacteria) AND (PUB_TYPE:""Review"")",open_access
P4ed81e19c8d5,"Targeting Horizontal Gene Transfer to Combat Antimicrobial Resistance: A Review of Mechanisms, Drivers, and Multi-Omics Strategies",10.2147/idr.s589962,41953073,2026,Infection and drug resistance,conjugation in non-model bacteria,"(conjugation in non-model bacteria) AND (PUB_TYPE:""Review"")",open_access
P56a7de64d4e0,Conjugation as an evolutionary bottleneck in antimicrobial resistance spread,10.3389/fmicb.2026.1863866,42326400,2026,Frontiers in microbiology,conjugation in non-model bacteria,"(conjugation in non-model bacteria) AND (PUB_TYPE:""Review"")",open_access
P37a258460d7e,"Base Editors for Engineering Industrial Microorganisms: Types, Applications, and Future Perspectives",10.1002/biot.70266,42307052,2026,Biotechnology journal,CRISPR engineering of non-model bacteria,"(CRISPR engineering of non-model bacteria) AND (PUB_TYPE:""Review"")",not_open_access
P3372056ec259,Engineering Plant-Associated Microorganisms for Bioremediation and Sustainable Agriculture,10.3390/microorganisms14061203,42354828,2026,Microorganisms,CRISPR engineering of non-model bacteria,"(CRISPR engineering of non-model bacteria) AND (PUB_TYPE:""Review"")",open_access
P116495f9869e,"Transposon-based genome editing of industrial microorganisms: advances, challenges, and prospects",10.1016/j.synbio.2026.04.026,42244906,2026,Synthetic and systems biotechnology,CRISPR engineering of non-model bacteria,"(CRISPR engineering of non-model bacteria) AND (PUB_TYPE:""Review"")",open_access
Pfbad78f5d59d,High-throughput editing boosts the construction of next-generation microbial cell factories,10.1016/j.synbio.2026.01.013,41704464,2026,Synthetic and systems biotechnology,genome editing in non-model microorganisms,"(genome editing in non-model microorganisms) AND (PUB_TYPE:""Review"")",open_access
P503815b07863,Cyanobacteria as a Photosynthetic Chassis for Metabolic Pathway Engineering with Heterologous Gene Expression,,,2026,Current issues in molecular biology,genome editing in non-model microorganisms,"(genome editing in non-model microorganisms) AND (PUB_TYPE:""Review"")",open_access
P598da0632bf1,Application and Research Prospects of CRISPR/Cas Gene Editing Technology in Lactic Acid Bacteria,10.3390/microorganisms14040739,42075136,2026,Microorganisms,genome editing in non-model microorganisms,"(genome editing in non-model microorganisms) AND (PUB_TYPE:""Review"")",open_access
P7f459bcf1ec9,"Metabolic Engineering of Microbial Cell Factories for Sustainable Production of Glycolic Acid: Pathways, Chassis, and Strategies toward Poly(glycolic acid) Bioplastics",10.1021/acssynbio.6c00078,42340804,2026,ACS synthetic biology,synthetic biology chassis development,"(synthetic biology chassis development) AND (PUB_TYPE:""Review"")",not_open_access
P91c8e4c18d18,The TfoX revolution: a review of genetic engineering in Vibrio natriegens,10.1016/j.copbio.2026.103506,42119170,2026,Current opinion in biotechnology,synthetic biology chassis development,"(synthetic biology chassis development) AND (PUB_TYPE:""Review"")",not_open_access
P9a499652f565,Streptomyces: boost chassis strains for production of invaluable natural products,10.1016/j.synbio.2026.05.005,42325658,2026,Synthetic and systems biotechnology,synthetic biology chassis development,"(synthetic biology chassis development) AND (PUB_TYPE:""Review"")",open_access
P57e5e79839a8,Molecular adaptations and engineering of extremophiles for synthetic biology and biotechnological applications,10.3389/fmicb.2026.1754802,41834871,2026,Frontiers in microbiology,genetic tools for extremophiles,"(genetic tools for extremophiles) AND (PUB_TYPE:""Review"")",open_access
P6177a16d3efb,Synthetic microbiomes in bioengineered rhizospheres: new frontiers for climate-resilient agriculture,10.3389/fmicb.2026.1780132,42039802,2026,Frontiers in microbiology,genetic manipulation of non-model bacteria,"(genetic manipulation of non-model bacteria) AND (PUB_TYPE:""Review"")",open_access
